tahun,pm10,so2,co,o3,no2
2010,52.75616438,13.2630137,35.50958904,50.37534247,18.17808219
2011,76.70410959,17.46849315,29.81369863,89.16164384,17.6630137
2012,78.2431694,25.35245902,37.07103825,152.2185792,18.65846995
2013,66.20273973,20.84931507,36.00821918,116.1205479,18.17808219
2014,67.34794521,14.16438356,33.84931507,90.24657534,18.44931507
2015,71.15068493,23.71506849,33.49315068,73.3369863,18.72054795
2016,63.07103825,30.80327869,43.55191257,82.75136612,15.21584699
2017,59.12876712,43.93150685,36.04657534,83.92328767,15.13424658
2018,62.66575342,30.86027397,24.15890411,118.9424658,15.8630137
2019,65.56712329,28.27123288,25.01643836,112.830137,15.2
2020,60.67671233,25.27671233,23.64931507,86.55616438,11.45753425
2021,60.49725275,52.75549451,15.31318681,49.84065934,33.76648352
2022,68.46083,41.49691,12.77093,76.53559,7.726699
2023,69.31163,32.16272,22.72828,118.30456,23.295134
2024,63.74987,28.5801,30.15419,120.23494,13.986274
2025,62.12223,27.81708,30.86447,89.76979,19.551394
2026,65.81764,27.84926,32.7119,72.23038,16.223454
2027,67.66177,27.95952,38.1148,85.93409,18.212619
2028,65.34587,28.01414,36.17999,106.38982,17.02272
2029,63.59851,28.02969,33.91793,106.86011,17.733564
2030,64.94171,28.03128,32.42457,91.68944,17.307965
